COMUNE,Provincia,Indirizzo,Name,Tipo stazione,inquinante,Altitudine,Identificatore SIRAV,Latitudine,Longitudine
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,SO2,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,PM10,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,PM2.5,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,O3,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,NO2,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,C6H6,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,B(A)P,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,As,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,Cd,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,Ni,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Parco Bissuola,VE - Parco Bissuola,background,Pb,2,500000156,45.499259586609,12.2626693249354
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,SO2,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,PM10,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,O3,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,NO2,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,As,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,Cd,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,Ni,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Sacca Fisola,VE - Sacca Fisola,background,Pb,0,500000141,45.4283983434102,12.3128885761381
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Beccaria,VE - Via Beccaria,traffico,PM10,2,500021765,45.4746239989939,12.2197364013169
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Beccaria,VE - Via Beccaria,traffico,NO2,2,500021765,45.4746239989939,12.2197364013169
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,SO2,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,PM10,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,PM2.5,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,NO2,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,CO,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,B(A)P,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,As,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,Cd,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,Ni,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Lago di Garda,VE - Malcontenta,industriale,Pb,1,500023627,45.4372692973688,12.2054789923417
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Tagliamento,VE - Via Tagliamento,traffico,SO2,3,500021732,45.5170427167568,12.227076783445
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Tagliamento,VE - Via Tagliamento,traffico,PM10,3,500021732,45.5170427167568,12.227076783445
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Tagliamento,VE - Via Tagliamento,traffico,NO2,3,500021732,45.5170427167568,12.227076783445
Venezia,CITTA' METROPOLITANA DI VENEZIA,Via Tagliamento,VE - Via Tagliamento,traffico,CO,3,500021732,45.5170427167568,12.227076783445
,
